Id,first_phrase_measure,length_first_phrase
1257,6.0,14.0
1258,9.0,13.0
1259,9.0,37.0
1260,,20.0
1261,11.0,36.0
1262,,28.0
1263,29.0,37.0
1264,23.0,40.0
1265,3.0,20.0
1266,26.0,35.0
1267,25.0,33.0
1268,28.0,54.0
1269,24.0,41.0
1270,6.0,9.5
1271,12.0,36.0
1272,16.0,19.0
1273,8.0,7.5
1274,18.0,21.0
1275,32.0,41.0
1276,24.0,29.0
1277,15.0,21.0
1278,24.0,53.0
1279,24.0,31.0
1280,27.0,35.0
1281,26.0,33.0
1282,13.0,14.0
1283,4.0,16.0
1284,6.0,27.0
1285,28.0,43.0
1286,25.0,39.0
1287,12.0,25.0
1288,27.0,45.0
1289,21.0,18.0
1290,27.0,48.0
1291,23.0,25.0
1292,,21.0
1293,10.0,21.0
